name,alias_class,category,width
ah,GPR_A,GPR,8
al,GPR_A,GPR,8
a,GPR_A,GPR,8
ax,GPR_A,GPR,16
eax,GPR_A,GPR,32
rax,GPR_A,GPR,64
bh,GPR_B,GPR,8
bl,GPR_B,GPR,8
b,GPR_B,GPR,8
bx,GPR_B,GPR,16
ebx,GPR_B,GPR,32
rbx,GPR_B,GPR,64
ch,GPR_C,GPR,8
cl,GPR_C,GPR,8
c,GPR_C,GPR,8
cx,GPR_C,GPR,16
ecx,GPR_C,GPR,32
rcx,GPR_C,GPR,64
dh,GPR_D,GPR,8
dl,GPR_D,GPR,8
d,GPR_D,GPR,8
dx,GPR_D,GPR,16
edx,GPR_D,GPR,32
rdx,GPR_D,GPR,64
bpl,GPR_BP,GPR,8
bp,GPR_BP,GPR,16
ebp,GPR_BP,GPR,32
rbp,GPR_BP,GPR,64
dil,GPR_DI,GPR,8
di,GPR_DI,GPR,16
edi,GPR_DI,GPR,32
rdi,GPR_DI,GPR,64
sil,GPR_SI,GPR,8
si,GPR_SI,GPR,16
esi,GPR_SI,GPR,32
rsi,GPR_SI,GPR,64
spl,GPR_SP,GPR,8
sp,GPR_SP,GPR,16
esp,GPR_SP,GPR,32
rsp,GPR_SP,GPR,64
ip,GPR_IP,GPR,16
eip,GPR_IP,GPR,32
rip,GPR_IP,GPR,64
r8b,GPR_R8,GPR,8
r8w,GPR_R8,GPR,16
r8d,GPR_R8,GPR,32
r8,GPR_R8,GPR,64
r9b,GPR_R9,GPR,8
r9w,GPR_R9,GPR,16
r9d,GPR_R9,GPR,32
r9,GPR_R9,GPR,64
r10b,GPR_R10,GPR,8
r10w,GPR_R10,GPR,16
r10d,GPR_R10,GPR,32
r10,GPR_R10,GPR,64
r11b,GPR_R11,GPR,8
r11w,GPR_R11,GPR,16
r11d,GPR_R11,GPR,32
r11,GPR_R11,GPR,64
r12b,GPR_R12,GPR,8
r12w,GPR_R12,GPR,16
r12d,GPR_R12,GPR,32
r12,GPR_R12,GPR,64
