name,alias_class,category,width
AH,GPR_A,GPR,8
AL,GPR_A,GPR,8
A,GPR_A,GPR,8
AX,GPR_A,GPR,16
EAX,GPR_A,GPR,32
RAX,GPR_A,GPR,64
BH,GPR_B,GPR,8
BL,GPR_B,GPR,8
B,GPR_B,GPR,8
BX,GPR_B,GPR,16
EBX,GPR_B,GPR,32
RBX,GPR_B,GPR,64
CH,GPR_C,GPR,8
CL,GPR_C,GPR,8
C,GPR_C,GPR,8
CX,GPR_C,GPR,16
ECX,GPR_C,GPR,32
RCX,GPR_C,GPR,64
DH,GPR_D,GPR,8
DL,GPR_D,GPR,8
D,GPR_D,GPR,8
DX,GPR_D,GPR,16
EDX,GPR_D,GPR,32
RDX,GPR_D,GPR,64
BPL,GPR_BP,GPR,8
BP,GPR_BP,GPR,16
EBP,GPR_BP,GPR,32
RBP,GPR_BP,GPR,64
DIL,GPR_DI,GPR,8
DI,GPR_DI,GPR,16
EDI,GPR_DI,GPR,32
RDI,GPR_DI,GPR,64
SIL,GPR_SI,GPR,8
SI,GPR_SI,GPR,16
ESI,GPR_SI,GPR,32
RSI,GPR_SI,GPR,64
SPL,GPR_SP,GPR,8
SP,GPR_SP,GPR,16
ESP,GPR_SP,GPR,32
RSP,GPR_SP,GPR,64
IP,GPR_IP,GPR,16
EIP,GPR_IP,GPR,32
RIP,GPR_IP,GPR,64
R8B,GPR_R8,GPR,8
R8W,GPR_R8,GPR,16
R8D,GPR_R8,GPR,32
R8,GPR_R8,GPR,64
R9B,GPR_R9,GPR,8
R9W,GPR_R9,GPR,16
R9D,GPR_R9,GPR,32
R9,GPR_R9,GPR,64
R10B,GPR_R10,GPR,8
R10W,GPR_R10,GPR,16
R10D,GPR_R10,GPR,32
R10,GPR_R10,GPR,64
R11B,GPR_R11,GPR,8
R11W,GPR_R11,GPR,16
R11D,GPR_R11,GPR,32
R11,GPR_R11,GPR,64
R12B,GPR_R12,GPR,8
R12W,GPR_R12,GPR,16
R12D,GPR_R12,GPR,32
R12,GPR_R12,GPR,64
